Project ID,Project Name,Project Approval Fiscal Year,Closing FY,Evaluation Date,Evaluation Type,IEG Outcome Ratings,IEG Bank Performance Ratings,IEG Quality at Entry Ratings,IEG Quality of Supervision Ratings,IEG Monitoring and Evaluation Quality Ratings,Global Practice,Practice Group,Region,Country,Country FCS Status,Country Lending Group,Agreement Type,Lending Instrument,Project Volume
P009140,RAILWAY II,1965,1975,09-11-1974,PPAR,Unsatisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,
P009147,INDUSTRY III,1970,1976,11-03-1976,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIM,
P009142,IRON & STEEL PROJECTS,1968,1976,11-03-1976,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,
P009144,INDUSTRY II,1969,1976,11-03-1976,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIM,
P009145,ROADS III,1969,1977,10-12-1976,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,
P009148,ROADS IV,1970,1977,15-06-1977,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,
P009157,KIKINDA IRON FOUNDRY,1974,1978,20-06-1978,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,
P009146,COMMUNICATIONS,1970,1978,28-03-1978,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIM,
P009159,UMI-IMT TRACTOR PLANT,1974,1978,20-06-1978,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIM,
P009150,TOURISM I BERNADIN,1971,1979,14-06-1979,PPAR,Unsatisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIM,
P009151,ROADS V,1971,1979,11-04-1979,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,
P009158,UMI-FOB IRON FOUNDRY,1974,1979,09-05-1979,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIM,
P009143,BELGRADE RAILWAY,1968,1982,09-10-1981,PPAR,Unsatisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,
P009149,TOURISM II BABIN KUK,1971,1982,18-08-1981,PPAR,Unsatisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIM,
P009154,AG. MACEDONIA INDUSTRIES,1973,1983,13-05-1983,PPAR,Satisfactory,,,,Not Rated,Other,Other,Europe And Central Asia,"Yugoslavia, former",0,,IBRD,SIL,>=25 million & <50 million
